"id","rented_at","rental_station_id","returned_at","return_station_id","duration_min","distance_m","birth_year","gender","bike_type"
54,"2025-12-01 06:47:18",3860,"2025-12-01 06:57:37",508,10,521.89,1994,F,일반자전거
55,"2025-12-01 07:01:12",3566,"2025-12-01 07:04:15",3569,3,595.9,1995,,일반자전거
56,"2025-12-01 06:05:57",2212,"2025-12-01 07:05:17",590,59,13419.66,,M,일반자전거
57,"2025-12-01 07:07:17",592,"2025-12-01 07:17:47",514,10,2037.93,2002,M,일반자전거
58,"2025-12-01 07:15:19",3860,"2025-12-01 07:20:40",3900,5,699.71,2000,M,일반자전거
59,"2025-12-01 05:55:12",3571,"2025-12-01 07:23:31",3569,88,1529.78,1988,F,일반자전거
60,"2025-12-01 07:24:31",591,"2025-12-01 07:25:38",592,1,208.47,,M,일반자전거
61,"2025-12-01 07:27:02",3864,"2025-12-01 07:32:08",3860,5,649.27,1999,M,일반자전거
62,"2025-12-01 07:33:11",3504,"2025-12-01 07:35:32",3569,2,0.0,1966,M,일반자전거
63,"2025-12-01 07:34:55",500,"2025-12-01 07:39:11",3900,4,806.85,2000,,일반자전거
64,"2025-12-01 07:37:07",3860,"2025-12-01 07:43:44",3501,6,1380.23,,,일반자전거
65,"2025-12-01 07:36:50",3860,"2025-12-01 07:45:58",514,9,1561.85,,,일반자전거
66,"2025-12-01 07:35:01",551,"2025-12-01 07:49:24",3569,14,3820.0,1972,F,일반자전거
67,"2025-12-01 07:40:51",3571,"2025-12-01 07:49:31",3860,8,1314.46,,,일반자전거
68,"2025-12-01 07:39:40",3573,"2025-12-01 07:50:00",3900,10,1069.86,,,일반자전거
69,"2025-12-01 07:46:43",505,"2025-12-01 07:51:03",3569,4,1046.86,1987,,일반자전거
70,"2025-12-01 07:36:12",3899,"2025-12-01 07:51:13",3569,15,2879.03,1996,F,일반자전거
71,"2025-12-01 07:46:24",3860,"2025-12-01 07:51:16",3588,4,776.13,2003,M,일반자전거
72,"2025-12-01 07:48:16",3507,"2025-12-01 07:52:17",590,4,1680.0,1997,,일반자전거
73,"2025-12-01 07:49:17",3860,"2025-12-01 07:54:15",3864,4,650.0,1988,M,일반자전거
74,"2025-12-01 07:48:45",3579,"2025-12-01 07:54:48",590,6,1030.93,1995,F,일반자전거
75,"2025-12-01 07:48:11",3573,"2025-12-01 07:54:56",592,6,1289.82,,,일반자전거
76,"2025-12-01 07:53:28",3504,"2025-12-01 07:56:09",3569,2,438.55,1993,F,일반자전거
77,"2025-12-01 07:51:19",3509,"2025-12-01 07:59:01",3900,7,1700.0,2008,M,일반자전거
78,"2025-12-01 07:55:13",546,"2025-12-01 08:04:59",3569,9,1595.52,1985,F,일반자전거
79,"2025-12-01 08:02:10",3860,"2025-12-01 08:05:47",3900,3,750.0,1996,F,일반자전거
80,"2025-12-01 07:26:04",1450,"2025-12-01 08:06:01",590,39,10340.85,1976,,일반자전거
81,"2025-12-01 07:59:35",571,"2025-12-01 08:06:39",3900,7,1105.91,2008,M,일반자전거
82,"2025-12-01 07:57:45",3509,"2025-12-01 08:06:46",3900,9,1476.98,2008,M,일반자전거
83,"2025-12-01 08:03:31",3569,"2025-12-01 08:07:08",592,3,634.19,,,일반자전거
84,"2025-12-01 07:58:36",502,"2025-12-01 08:08:00",592,9,1582.12,,,일반자전거
85,"2025-12-01 08:08:16",505,"2025-12-01 08:12:17",3569,4,833.08,1990,M,일반자전거
86,"2025-12-01 07:57:36",3537,"2025-12-01 08:12:29",590,14,2036.98,1977,F,일반자전거
87,"2025-12-01 08:11:59",591,"2025-12-01 08:13:04",592,1,208.47,1999,,일반자전거
88,"2025-12-01 08:00:51",585,"2025-12-01 08:14:03",3900,13,1616.78,,,일반자전거
89,"2025-12-01 08:05:43",3536,"2025-12-01 08:14:39",590,8,1268.67,,,일반자전거
90,"2025-12-01 08:11:03",3860,"2025-12-01 08:15:05",592,4,594.37,2002,F,일반자전거
91,"2025-12-01 08:06:50",3569,"2025-12-01 08:15:27",3536,8,1338.75,1976,,일반자전거
92,"2025-12-01 08:11:21",505,"2025-12-01 08:16:38",590,5,880.83,,,일반자전거
93,"2025-12-01 08:10:54",3501,"2025-12-01 08:17:44",3569,6,1292.28,1988,F,일반자전거
94,"2025-12-01 08:12:17",3579,"2025-12-01 08:20:07",3569,7,2110.0,1997,M,일반자전거
95,"2025-12-01 08:04:40",3542,"2025-12-01 08:20:41",592,16,1983.0,,,일반자전거
96,"2025-12-01 08:16:49",3569,"2025-12-01 08:21:37",3900,4,505.11,1988,M,일반자전거
97,"2025-12-01 08:16:54",3505,"2025-12-01 08:24:39",590,7,736.29,,,일반자전거
98,"2025-12-01 08:17:04",3505,"2025-12-01 08:24:42",590,7,800.0,1999,M,일반자전거
99,"2025-12-01 08:19:42",3501,"2025-12-01 08:24:45",590,5,851.06,2000,M,일반자전거
100,"2025-12-01 08:15:46",3516,"2025-12-01 08:27:19",590,11,2190.21,1997,F,일반자전거
101,"2025-12-01 07:28:34",3900,"2025-12-01 08:29:02",3900,60,1202.07,,,일반자전거
102,"2025-12-01 08:24:07",3569,"2025-12-01 08:30:22",3900,6,902.47,2001,M,일반자전거
103,"2025-12-01 08:24:11",590,"2025-12-01 08:31:11",3571,7,894.3,1981,F,일반자전거
104,"2025-12-01 08:28:49",3566,"2025-12-01 08:32:12",3569,3,425.73,1991,M,일반자전거
105,"2025-12-01 08:29:46",3504,"2025-12-01 08:33:01",3569,3,403.86,1998,M,일반자전거
106,"2025-12-01 08:24:11",3569,"2025-12-01 08:34:37",4377,10,1152.12,1975,M,일반자전거
107,"2025-12-01 08:17:35",648,"2025-12-01 08:35:30",3860,17,2532.31,1997,F,일반자전거
108,"2025-12-01 08:27:08",3534,"2025-12-01 08:35:54",3523,9,953.08,2001,F,일반자전거
109,"2025-12-01 08:34:23",3569,"2025-12-01 08:37:28",592,3,1070.0,,,일반자전거
110,"2025-12-01 08:31:01",3860,"2025-12-01 08:38:34",3501,7,1010.29,1992,F,일반자전거
111,"2025-12-01 08:34:23",3864,"2025-12-01 08:39:46",592,5,611.59,,,일반자전거
112,"2025-12-01 08:36:08",3569,"2025-12-01 08:40:01",592,3,208.47,2000,,일반자전거
113,"2025-12-01 08:34:58",3586,"2025-12-01 08:42:44",592,7,3960.0,2002,M,새싹자전거
114,"2025-12-01 08:34:07",3582,"2025-12-01 08:42:55",3523,8,1243.85,,,일반자전거
115,"2025-12-01 08:35:26",549,"2025-12-01 08:43:34",592,8,1890.65,2002,M,일반자전거
116,"2025-12-01 08:41:41",3566,"2025-12-01 08:44:53",590,3,696.01,1999,,일반자전거
117,"2025-12-01 08:39:57",3507,"2025-12-01 08:47:01",3569,7,1103.29,1999,M,일반자전거
118,"2025-12-01 08:43:08",3569,"2025-12-01 08:47:04",592,3,1330.0,1998,M,일반자전거
119,"2025-12-01 08:39:45",3507,"2025-12-01 08:47:07",3569,7,959.97,,,일반자전거
120,"2025-12-01 08:42:08",3566,"2025-12-01 08:47:29",590,5,772.14,2003,F,일반자전거
121,"2025-12-01 08:43:14",3504,"2025-12-01 08:47:55",3569,4,584.18,1997,,일반자전거
122,"2025-12-01 08:38:25",590,"2025-12-01 08:48:12",3518,9,1900.0,1994,F,일반자전거
123,"2025-12-01 08:39:55",516,"2025-12-01 08:48:33",590,8,970.73,,M,일반자전거
124,"2025-12-01 08:45:01",3569,"2025-12-01 08:48:52",592,3,141.91,1996,,일반자전거
125,"2025-12-01 08:42:58",3890,"2025-12-01 08:48:58",592,6,1060.0,2000,M,일반자전거
126,"2025-12-01 08:45:39",3853,"2025-12-01 08:49:11",592,3,773.09,,,일반자전거
127,"2025-12-01 08:35:55",555,"2025-12-01 08:49:13",3569,13,1905.27,1978,M,일반자전거
128,"2025-12-01 08:46:16",501,"2025-12-01 08:49:29",3569,3,208.47,,,일반자전거
129,"2025-12-01 08:38:47",3518,"2025-12-01 08:50:02",592,11,1740.0,,,일반자전거
130,"2025-12-01 08:46:49",3569,"2025-12-01 08:50:22",3900,3,703.87,,,일반자전거
131,"2025-12-01 08:47:33",3569,"2025-12-01 08:50:41",592,3,495.4,2000,M,일반자전거
132,"2025-12-01 08:45:15",3569,"2025-12-01 08:50:44",3523,5,812.83,,,일반자전거
133,"2025-12-01 08:39:08",540,"2025-12-01 08:51:10",3523,12,1880.0,1995,F,일반자전거
134,"2025-12-01 08:48:15",3569,"2025-12-01 08:51:25",3900,3,703.87,2001,M,일반자전거
135,"2025-12-01 08:47:21",3569,"2025-12-01 08:51:41",3523,4,774.31,1999,M,일반자전거
136,"2025-12-01 08:47:55",3853,"2025-12-01 08:51:50",592,3,34.75,2001,M,일반자전거
137,"2025-12-01 08:29:34",590,"2025-12-01 08:51:58",590,22,0.0,2003,M,일반자전거
138,"2025-12-01 08:49:00",3860,"2025-12-01 08:52:04",592,3,539.06,2003,M,일반자전거
139,"2025-12-01 08:48:03",3569,"2025-12-01 08:52:25",592,4,438.54,,F,일반자전거
140,"2025-12-01 08:48:01",3569,"2025-12-01 08:52:31",592,4,503.74,2004,F,일반자전거
141,"2025-12-01 08:49:20",3860,"2025-12-01 08:52:45",590,3,864.27,,,일반자전거
142,"2025-12-01 08:42:45",3899,"2025-12-01 08:53:37",591,10,1897.9,2002,M,일반자전거
143,"2025-12-01 08:52:26",3860,"2025-12-01 08:54:29",592,2,490.0,,,일반자전거
144,"2025-12-01 08:46:41",3569,"2025-12-01 08:54:51",3881,8,1045.8,1997,M,일반자전거
145,"2025-12-01 08:52:49",590,"2025-12-01 08:55:39",592,2,416.94,,,일반자전거
146,"2025-12-01 08:52:31",3569,"2025-12-01 08:55:56",3900,3,620.68,2001,M,일반자전거
147,"2025-12-01 08:53:16",3860,"2025-12-01 08:56:28",592,3,1120.0,1994,,새싹자전거
148,"2025-12-01 08:54:04",3569,"2025-12-01 08:57:16",592,3,629.39,2001,,일반자전거
149,"2025-12-01 08:55:07",592,"2025-12-01 08:57:50",590,2,1030.0,2003,M,일반자전거
150,"2025-12-01 08:54:07",3569,"2025-12-01 08:58:16",3900,4,960.0,1995,F,일반자전거
151,"2025-12-01 08:52:52",3575,"2025-12-01 08:58:17",3523,5,1180.0,2001,M,일반자전거
152,"2025-12-01 08:50:04",3571,"2025-12-01 08:58:22",3523,8,1451.03,2003,M,일반자전거
153,"2025-12-01 08:52:17",3890,"2025-12-01 08:58:44",592,6,735.18,,,일반자전거
154,"2025-12-01 08:46:39",574,"2025-12-01 08:58:46",591,12,1948.12,,,일반자전거
155,"2025-12-01 08:51:41",546,"2025-12-01 08:59:11",590,7,1322.36,2002,,일반자전거
156,"2025-12-01 08:51:05",3582,"2025-12-01 08:59:17",592,8,985.95,,,일반자전거
157,"2025-12-01 08:55:26",3865,"2025-12-01 08:59:22",590,3,708.54,2002,F,일반자전거
158,"2025-12-01 08:54:18",584,"2025-12-01 08:59:23",592,5,980.0,1993,,새싹자전거
159,"2025-12-01 08:55:11",3569,"2025-12-01 09:00:00",3900,4,767.32,,,일반자전거
160,"2025-12-01 08:57:35",590,"2025-12-01 09:00:23",592,2,0.0,,,일반자전거
161,"2025-12-01 08:57:41",3569,"2025-12-01 09:01:08",592,3,517.01,2000,,일반자전거
162,"2025-12-01 08:59:57",3569,"2025-12-01 09:03:00",592,3,580.46,2000,M,일반자전거
163,"2025-12-01 08:59:38",500,"2025-12-01 09:03:10",3523,3,840.42,1989,F,일반자전거
164,"2025-12-01 08:59:24",3573,"2025-12-01 09:04:47",3900,5,1215.7,2000,M,일반자전거
165,"2025-12-01 09:01:58",3864,"2025-12-01 09:05:14",3860,3,681.41,1994,M,일반자전거
166,"2025-12-01 09:05:31",590,"2025-12-01 09:08:04",592,2,1030.0,,,일반자전거
167,"2025-12-01 08:56:24",3570,"2025-12-01 09:09:24",592,13,1696.17,2003,F,일반자전거
168,"2025-12-01 08:57:21",3569,"2025-12-01 09:10:25",513,13,2068.19,1967,M,일반자전거
169,"2025-12-01 09:05:10",3507,"2025-12-01 09:10:36",591,5,483.17,1980,F,일반자전거
170,"2025-12-01 09:06:30",3569,"2025-12-01 09:11:06",3900,4,756.8,2007,M,일반자전거
171,"2025-12-01 09:09:07",3860,"2025-12-01 09:11:08",592,2,345.14,2001,M,일반자전거
172,"2025-12-01 09:01:08",3509,"2025-12-01 09:11:11",3523,10,1370.01,2007,M,일반자전거
173,"2025-12-01 08:54:16",3586,"2025-12-01 09:12:31",590,18,2322.21,1988,M,일반자전거
174,"2025-12-01 09:11:12",3569,"2025-12-01 09:15:36",501,4,490.0,,,새싹자전거
175,"2025-12-01 09:13:48",3504,"2025-12-01 09:17:46",3569,3,264.51,1989,F,일반자전거
176,"2025-12-01 08:47:34",627,"2025-12-01 09:20:54",592,33,5268.69,1966,,일반자전거
177,"2025-12-01 09:11:14",3516,"2025-12-01 09:23:41",3900,12,2168.45,2007,,일반자전거
178,"2025-12-01 09:21:04",590,"2025-12-01 09:23:47",592,2,111.2,2004,F,일반자전거
179,"2025-12-01 09:12:39",3508,"2025-12-01 09:24:48",3900,12,1504.46,1998,,일반자전거
180,"2025-12-01 09:21:09",590,"2025-12-01 09:25:17",3523,4,494.58,1999,,일반자전거
181,"2025-12-01 09:22:57",3569,"2025-12-01 09:26:39",3900,3,649.32,1999,M,일반자전거
182,"2025-12-01 08:43:53",3600,"2025-12-01 09:26:52",3860,42,2833.44,1966,M,일반자전거
183,"2025-12-01 09:30:11",3860,"2025-12-01 09:32:06",592,1,0.0,1991,,일반자전거
184,"2025-12-01 09:29:39",590,"2025-12-01 09:33:14",3900,3,384.81,1998,,일반자전거
185,"2025-12-01 09:30:26",3569,"2025-12-01 09:35:00",592,4,830.0,,,새싹자전거
186,"2025-12-01 09:31:10",590,"2025-12-01 09:35:12",3900,4,614.88,1999,M,일반자전거
187,"2025-12-01 09:31:59",3501,"2025-12-01 09:37:39",3569,5,931.11,,F,일반자전거
188,"2025-12-01 09:32:53",3569,"2025-12-01 09:37:52",3900,4,735.19,2001,,새싹자전거
189,"2025-12-01 09:34:31",590,"2025-12-01 09:37:56",592,3,283.82,,F,일반자전거
190,"2025-12-01 09:35:31",3533,"2025-12-01 09:39:49",592,4,670.07,,,일반자전거
191,"2025-12-01 09:30:13",3509,"2025-12-01 09:41:09",3523,10,1453.95,2007,M,일반자전거
192,"2025-12-01 09:45:17",3569,"2025-12-01 09:48:58",592,3,563.57,2002,F,일반자전거
193,"2025-12-01 09:46:40",590,"2025-12-01 09:50:12",3900,3,495.4,,,일반자전거
194,"2025-12-01 09:41:34",590,"2025-12-01 09:52:43",590,11,881.37,2002,M,일반자전거
195,"2025-12-01 09:35:04",542,"2025-12-01 09:52:49",3523,17,1890.73,2002,M,일반자전거
196,"2025-12-01 09:48:00",3529,"2025-12-01 09:54:39",592,6,930.92,1999,F,일반자전거
197,"2025-12-01 09:04:31",2909,"2025-12-01 09:54:39",592,50,9558.51,1967,M,일반자전거
198,"2025-12-01 09:50:54",3507,"2025-12-01 09:55:00",590,4,776.04,1999,M,일반자전거
199,"2025-12-01 09:50:16",505,"2025-12-01 09:55:20",590,5,880.23,,,일반자전거
200,"2025-12-01 09:49:26",590,"2025-12-01 09:56:16",3900,6,605.77,1999,,일반자전거
201,"2025-12-01 09:54:08",590,"2025-12-01 09:56:23",592,2,208.47,,M,일반자전거
202,"2025-12-01 09:53:17",590,"2025-12-01 09:57:23",3900,4,296.63,1997,,일반자전거
203,"2025-12-01 09:55:32",590,"2025-12-01 09:58:30",591,2,381.14,2004,M,일반자전거
204,"2025-12-01 09:55:48",590,"2025-12-01 10:00:47",3900,4,533.67,2001,F,일반자전거
205,"2025-12-01 09:59:21",590,"2025-12-01 10:02:32",592,3,580.0,,,일반자전거
206,"2025-12-01 10:02:16",590,"2025-12-01 10:06:03",3900,3,526.72,1998,F,일반자전거
207,"2025-12-01 09:44:56",3571,"2025-12-01 10:06:51",591,21,2187.46,1998,M,일반자전거
208,"2025-12-01 10:00:03",3571,"2025-12-01 10:09:11",3900,9,1535.73,2000,M,일반자전거
209,"2025-12-01 09:49:20",590,"2025-12-01 10:09:33",592,20,963.89,,,일반자전거
210,"2025-12-01 10:08:13",3501,"2025-12-01 10:11:16",3523,3,557.48,,,일반자전거
211,"2025-12-01 10:01:25",588,"2025-12-01 10:11:55",3523,10,1678.57,2000,M,일반자전거
212,"2025-12-01 10:09:15",590,"2025-12-01 10:12:04",592,2,0.0,2001,M,일반자전거
213,"2025-12-01 10:04:19",592,"2025-12-01 10:12:38",3543,8,1180.0,,,일반자전거
214,"2025-12-01 10:04:29",592,"2025-12-01 10:12:40",3582,8,1168.79,2001,M,일반자전거
215,"2025-12-01 10:04:59",540,"2025-12-01 10:13:43",592,8,1685.49,2003,F,일반자전거
216,"2025-12-01 10:12:11",590,"2025-12-01 10:14:15",592,2,1030.0,2002,M,일반자전거
217,"2025-12-01 10:12:32",590,"2025-12-01 10:14:45",592,2,350.38,2000,,일반자전거
218,"2025-12-01 10:12:09",590,"2025-12-01 10:15:30",592,3,439.15,2000,M,일반자전거
219,"2025-12-01 10:10:31",3533,"2025-12-01 10:15:43",3900,5,898.7,,M,일반자전거
220,"2025-12-01 08:57:50",591,"2025-12-01 10:15:58",592,78,935.4,2003,M,일반자전거
221,"2025-12-01 10:11:56",3575,"2025-12-01 10:16:54",591,4,1178.56,2002,M,일반자전거
222,"2025-12-01 10:14:07",3900,"2025-12-01 10:17:32",3569,3,703.87,2002,M,일반자전거
223,"2025-12-01 10:09:06",3505,"2025-12-01 10:17:52",3900,8,1520.0,,,일반자전거
224,"2025-12-01 10:11:36",590,"2025-12-01 10:18:29",3900,6,624.04,1972,,일반자전거
225,"2025-12-01 10:15:36",590,"2025-12-01 10:18:48",592,3,940.0,2001,M,새싹자전거
226,"2025-12-01 10:14:06",3575,"2025-12-01 10:20:00",591,5,1260.83,2002,M,일반자전거
227,"2025-12-01 10:08:28",3509,"2025-12-01 10:20:52",592,12,1570.0,,,일반자전거
228,"2025-12-01 10:19:01",590,"2025-12-01 10:21:26",592,2,141.91,2002,M,일반자전거
229,"2025-12-01 10:06:43",3501,"2025-12-01 10:21:48",590,15,842.22,2000,F,일반자전거
230,"2025-12-01 10:18:58",590,"2025-12-01 10:21:59",592,3,208.47,2002,,일반자전거
231,"2025-12-01 10:15:16",3579,"2025-12-01 10:22:20",592,7,1317.36,2002,M,일반자전거
232,"2025-12-01 10:07:23",585,"2025-12-01 10:22:59",590,15,1968.25,,,일반자전거
233,"2025-12-01 10:20:15",3569,"2025-12-01 10:23:09",592,2,673.96,2001,M,일반자전거
234,"2025-12-01 10:19:07",3890,"2025-12-01 10:24:54",3523,5,507.63,2004,F,일반자전거
235,"2025-12-01 10:21:10",505,"2025-12-01 10:26:57",3523,5,630.22,2002,M,일반자전거
236,"2025-12-01 10:22:41",3523,"2025-12-01 10:27:25",3569,4,703.05,2001,F,일반자전거
237,"2025-12-01 10:20:20",3508,"2025-12-01 10:28:19",3523,7,1302.47,2000,M,일반자전거
238,"2025-12-01 10:19:20",3500,"2025-12-01 10:28:33",592,9,1941.68,2005,M,일반자전거
239,"2025-12-01 10:18:50",3865,"2025-12-01 10:29:20",3900,10,1613.43,,F,일반자전거
240,"2025-12-01 10:21:01",3569,"2025-12-01 10:29:41",4377,8,1099.75,,,새싹자전거
241,"2025-12-01 10:23:29",3501,"2025-12-01 10:30:13",3569,6,2290.0,1976,,새싹자전거
242,"2025-12-01 10:27:39",590,"2025-12-01 10:30:39",3523,3,698.24,1999,M,일반자전거
243,"2025-12-01 10:28:28",590,"2025-12-01 10:30:45",592,2,296.64,2002,M,일반자전거
244,"2025-12-01 10:26:33",590,"2025-12-01 10:31:18",592,4,600.0,2000,M,새싹자전거
245,"2025-12-01 10:29:00",3523,"2025-12-01 10:32:32",3860,3,478.46,2000,M,일반자전거
246,"2025-12-01 08:52:51",3582,"2025-12-01 10:34:38",3860,101,1292.54,2004,F,일반자전거
247,"2025-12-01 10:27:23",591,"2025-12-01 10:35:05",3900,7,403.74,2005,M,일반자전거
248,"2025-12-01 10:34:23",3860,"2025-12-01 10:36:11",592,1,595.34,2003,F,일반자전거
249,"2025-12-01 10:33:54",500,"2025-12-01 10:36:18",592,2,661.89,2000,M,일반자전거
250,"2025-12-01 10:27:36",574,"2025-12-01 10:38:11",590,10,2402.69,,,일반자전거
251,"2025-12-01 10:33:00",3507,"2025-12-01 10:38:30",3569,5,1110.0,1991,M,일반자전거
252,"2025-12-01 10:39:21",3569,"2025-12-01 10:43:01",3900,3,730.39,1998,M,일반자전거
253,"2025-12-01 10:39:12",3569,"2025-12-01 10:44:22",3504,5,470.0,1997,,일반자전거
254,"2025-12-01 10:40:36",3890,"2025-12-01 10:44:28",3900,3,741.42,1997,M,일반자전거
255,"2025-12-01 10:42:02",4382,"2025-12-01 10:49:04",3860,7,815.87,2003,F,일반자전거
256,"2025-12-01 10:43:52",3860,"2025-12-01 10:49:45",3523,5,833.6,,,일반자전거
257,"2025-12-01 10:11:59",5775,"2025-12-01 10:50:38",590,38,7620.0,1997,,일반자전거
258,"2025-12-01 08:56:17",3579,"2025-12-01 10:52:39",3860,116,2690.8,,,일반자전거
259,"2025-12-01 10:52:23",590,"2025-12-01 10:55:18",3900,2,740.0,2000,,일반자전거
260,"2025-12-01 10:48:22",501,"2025-12-01 10:55:44",592,7,1210.0,1998,M,일반자전거
261,"2025-12-01 10:46:40",3504,"2025-12-01 10:56:08",591,9,1370.0,2002,M,일반자전거
262,"2025-12-01 10:50:17",573,"2025-12-01 10:56:36",592,6,926.83,,F,일반자전거
263,"2025-12-01 10:54:54",591,"2025-12-01 10:56:46",3523,1,375.09,2002,M,일반자전거
264,"2025-12-01 10:54:08",592,"2025-12-01 10:57:23",3569,3,548.32,2007,M,일반자전거
265,"2025-12-01 10:55:32",3860,"2025-12-01 10:58:41",3900,3,717.69,,,일반자전거
266,"2025-12-01 10:54:40",3533,"2025-12-01 11:00:22",3900,5,970.0,,,일반자전거
267,"2025-12-01 10:51:03",551,"2025-12-01 11:01:02",590,9,1810.13,2006,M,일반자전거
268,"2025-12-01 10:58:51",3569,"2025-12-01 11:04:19",3523,5,879.39,,,일반자전거
